age,categorie_age,sexe,milieu,niveau_education,experience,etat_matrimonial,possede_voiture,possede_logement,possede_terrain,socio_pro_group,revenu_annuel,nombre_enfants,charge_parentale,travail_secondaire,colonne_redundante,non_pertinente
66,Âgé,Femme,Urbain,Fondamental,47,Marié,1,0,0,3,39146.785041753334,4,0,0,66,N/A
69,Âgé,Femme,Urbain,Fondamental,53,Marié,0,0,0,5,36391.703110271366,2,0,0,69,N/A
49,Sénior,Femme,Rural,Supérieur,27,Marié,1,1,0,4,39698.81437559253,2,0,0,49,N/A
21,Jeune,Homme,Urbain,Sans niveau,0,Marié,0,1,0,4,29373.495467361736,5,1,0,21,N/A
47,Sénior,Homme,Urbain,Supérieur,29,None,0,0,0,2,42026.71124856139,1,0,0,47,N/A
54,Sénior,Homme,Rural,Sans niveau,36,Marié,1,0,0,4,31722.800452291118,2,0,0,54,N/A
40,Sénior,Homme,Urbain,Fondamental,24,None,0,0,1,3,36498.131679730664,1,0,0,40,N/A
56,Sénior,Femme,Rural,Fondamental,33,Marié,1,1,0,4,37991.565751913266,1,1,0,56,N/A
62,Âgé,Homme,Urbain,Secondaire,41,Marié,1,1,0,3,244565.33467161597,3,1,0,62,N/A
32,Adulte,Homme,Urbain,Secondaire,12,Marié,0,1,0,5,38349.31982535363,3,0,0,32,N/A
60,Âgé,Homme,Rural,Sans niveau,38,Célibataire,1,1,0,4,35078.034736808426,1,1,0,60,N/A
46,Sénior,Homme,Urbain,Fondamental,25,Marié,0,0,0,2,34631.14211657815,3,1,0,46,N/A
53,Sénior,Femme,Rural,Supérieur,37,Divorcé,1,1,0,2,45147.40135236025,1,0,0,53,N/A
30,Adulte,Homme,Urbain,Sans niveau,8,Marié,1,1,0,6,32511.227124818124,2,1,0,30,N/A
49,Sénior,Femme,Urbain,Secondaire,25,Marié,1,1,0,3,49249.664009131906,1,1,1,49,N/A
24,Jeune,Homme,Urbain,Secondaire,1,Célibataire,0,1,0,2,40704.690932663885,4,1,0,24,N/A
68,Âgé,Femme,Urbain,Fondamental,45,Célibataire,0,0,0,4,34752.77197615849,4,0,0,68,N/A
39,Adulte,Femme,Urbain,Sans niveau,15,Célibataire,0,0,0,4,27845.270012734276,4,1,1,39,N/A
45,Sénior,Femme,Urbain,Sans niveau,21,Marié,0,0,0,5,23727.035572238427,1,1,0,45,N/A
19,Jeune,Femme,Urbain,Fondamental,0,Célibataire,0,0,0,6,25230.409719531985,2,1,0,19,N/A
59,Sénior,Homme,Rural,Fondamental,40,Marié,1,0,1,5,30665.177346104796,3,0,0,59,N/A
62,Âgé,Femme,Urbain,Sans niveau,43,Célibataire,1,1,0,5,46261.570865524074,1,0,0,62,N/A
23,Jeune,Femme,Rural,Fondamental,0,Célibataire,1,0,0,1,26027.49393361669,1,1,0,23,N/A
45,Sénior,Femme,Rural,Fondamental,21,Marié,1,1,0,2,31130.144232600935,2,0,0,45,N/A
45,Sénior,Femme,Rural,Secondaire,26,None,0,1,0,4,26484.458355538736,3,1,0,45,N/A
61,Âgé,Femme,Urbain,Supérieur,38,Célibataire,0,0,0,2,39825.43019672512,1,0,0,61,N/A
61,Âgé,Homme,Rural,Secondaire,40,Célibataire,1,0,0,2,37057.162967401964,2,0,0,61,N/A
37,Adulte,Homme,Urbain,Fondamental,16,Marié,0,0,0,3,30671.771151155954,1,0,1,37,N/A
47,Sénior,Homme,Urbain,Secondaire,29,Marié,0,0,0,3,39672.97549153613,6,1,0,47,N/A
28,Adulte,Femme,Rural,Supérieur,12,Divorcé,0,1,0,6,31494.188371518856,3,0,0,28,N/A
45,Sénior,Homme,Urbain,Sans niveau,25,Marié,0,0,1,6,34514.57750010534,3,1,0,45,N/A
42,Sénior,Femme,Rural,Fondamental,18,Célibataire,0,1,0,5,21476.39615767115,4,1,0,42,N/A
56,Sénior,Homme,Urbain,Fondamental,39,Marié,0,0,0,5,37563.98302205424,3,0,0,56,N/A
50,Sénior,Homme,Urbain,Fondamental,34,None,1,0,0,4,37540.428259528744,2,1,0,50,N/A
18,Jeune,Femme,Urbain,Supérieur,0,Marié,0,1,0,5,33825.76315796731,1,0,0,18,N/A
44,Sénior,Femme,Rural,Fondamental,24,Marié,0,0,0,2,122165.5672211772,2,0,0,44,N/A
69,Âgé,Femme,Urbain,Supérieur,51,Célibataire,0,1,0,4,50904.075644653,3,0,0,69,N/A
30,Adulte,Homme,Urbain,Secondaire,7,Marié,0,1,0,3,38607.65429106527,0,1,0,30,N/A
58,Sénior,Homme,Urbain,Sans niveau,35,Divorcé,0,1,0,5,41466.68105090531,3,1,0,58,N/A
20,Jeune,Homme,Urbain,Sans niveau,0,Veuf,1,0,0,6,25104.702905269347,3,0,0,20,N/A
56,Sénior,Homme,Urbain,Secondaire,33,Marié,0,1,0,2,50795.6883589528,4,0,0,56,N/A
23,Jeune,Homme,Urbain,Fondamental,3,Célibataire,0,0,0,2,32155.43573656166,3,0,1,23,N/A
25,Jeune,Homme,Urbain,Sans niveau,4,Célibataire,0,0,0,5,24902.4960024562,0,1,1,25,N/A
44,Sénior,Homme,Urbain,Supérieur,27,Célibataire,1,1,0,6,48656.50654541958,4,1,0,44,N/A
26,Adulte,Femme,Urbain,Sans niveau,7,Marié,0,1,0,3,26387.057480495685,3,0,0,26,N/A
54,Sénior,Homme,Urbain,Secondaire,33,Célibataire,0,0,0,1,46402.75483563032,1,1,0,54,N/A
50,Sénior,Homme,Rural,Fondamental,26,Marié,0,0,0,1,30942.472470680288,2,0,0,50,N/A
68,Âgé,Homme,Urbain,Sans niveau,50,Célibataire,1,1,0,4,47656.14662671394,1,0,0,68,N/A
59,Sénior,Femme,Urbain,Fondamental,43,Célibataire,0,1,0,3,40028.56974668916,0,0,0,59,N/A
61,Âgé,Homme,Rural,Fondamental,44,Divorcé,0,0,0,4,31783.648347335482,3,0,0,61,N/A
41,Sénior,Homme,Urbain,Sans niveau,20,Veuf,0,0,0,5,24645.65360129872,3,0,0,41,N/A
32,Adulte,Homme,Rural,Sans niveau,12,Marié,1,0,1,1,24989.27009606397,1,0,0,32,N/A
49,Sénior,Femme,Urbain,Fondamental,28,Célibataire,0,0,0,3,32761.759055831426,3,0,0,49,N/A
49,Sénior,Femme,Urbain,Fondamental,28,Marié,0,1,0,2,37241.80162272846,1,1,0,49,N/A
41,Sénior,Femme,Urbain,Secondaire,25,Veuf,0,1,0,5,32678.675418837636,3,0,0,41,N/A
58,Sénior,Homme,Urbain,None,41,Célibataire,1,0,0,3,51215.30367691407,5,0,0,58,N/A
69,Âgé,Femme,Urbain,Sans niveau,49,Célibataire,0,0,0,5,31149.1706106095,2,0,1,69,N/A
66,Âgé,Femme,Urbain,Sans niveau,45,Marié,0,0,0,3,32916.87229874192,0,1,0,66,N/A
66,Âgé,Femme,Rural,Supérieur,42,Marié,1,1,1,6,37435.82415239899,2,0,0,66,N/A
69,Âgé,Femme,Urbain,Sans niveau,52,Célibataire,1,1,0,4,45677.33988753567,0,0,0,69,N/A
29,Adulte,Homme,Rural,Secondaire,5,Célibataire,0,0,1,4,25747.449444914535,0,0,1,29,N/A
56,Sénior,Homme,Rural,Secondaire,37,Divorcé,0,0,0,4,32462.835198328376,0,1,0,56,N/A
19,Jeune,Femme,Rural,Sans niveau,1,Marié,0,0,0,4,13425.507193628831,3,0,0,19,N/A
20,Jeune,Femme,Urbain,Secondaire,1,Célibataire,0,0,0,5,28337.693182037237,3,1,0,20,N/A
66,Âgé,Homme,Urbain,Sans niveau,45,Divorcé,1,1,0,2,47576.98806031525,1,1,0,66,N/A
54,Sénior,Homme,Rural,Secondaire,33,Marié,0,1,0,3,39761.840124388735,3,0,0,54,N/A
66,Âgé,Femme,Rural,Fondamental,45,Célibataire,0,0,0,1,30133.574279436667,2,1,0,66,N/A
34,Adulte,Homme,Rural,Secondaire,17,Célibataire,0,1,1,2,37226.61168963968,1,1,0,34,N/A
66,Âgé,Homme,Urbain,Secondaire,45,Marié,1,1,1,2,55232.50338778079,2,0,0,66,N/A
19,Jeune,Homme,Urbain,None,0,Célibataire,1,1,1,5,38491.538426725965,0,0,0,19,N/A
19,Jeune,Femme,Urbain,Fondamental,1,None,0,0,0,6,21697.03565581441,0,1,0,19,N/A
45,Sénior,Femme,Rural,Fondamental,25,Célibataire,0,0,0,5,18870.538833431518,1,0,0,45,N/A
40,Sénior,Homme,Urbain,Secondaire,24,Divorcé,0,0,0,3,39515.35072120573,1,0,1,40,N/A
54,Sénior,Femme,Urbain,Fondamental,34,Célibataire,0,0,0,5,24627.743853561533,1,0,0,54,N/A
49,Sénior,Homme,Rural,Fondamental,27,Divorcé,0,1,0,4,29889.865778500072,0,0,0,49,N/A
50,Sénior,Homme,Urbain,Sans niveau,27,Veuf,1,1,0,3,47378.52091184376,4,0,0,50,N/A
18,Jeune,Femme,Urbain,Fondamental,0,Célibataire,0,0,0,6,25710.671129377035,2,0,0,18,N/A
36,Adulte,Homme,Rural,Supérieur,16,Célibataire,0,1,0,2,36159.80994482618,3,0,0,36,N/A
19,Jeune,Homme,Rural,Supérieur,3,Marié,0,0,0,4,28837.918254786226,2,0,0,19,N/A
61,Âgé,Femme,Urbain,Fondamental,38,Célibataire,0,1,0,5,40590.6428795016,1,0,0,61,N/A
43,Sénior,Homme,Urbain,Secondaire,21,Marié,0,1,0,3,43701.96311552941,5,1,0,43,N/A
49,Sénior,Homme,Urbain,Supérieur,32,Marié,0,0,0,4,46849.89568041724,2,1,1,49,N/A
23,Jeune,Femme,Rural,Secondaire,5,Célibataire,0,1,0,4,25373.26885402181,1,0,0,23,N/A
49,Sénior,Femme,Rural,Fondamental,33,Marié,0,0,1,4,26458.73412731381,2,0,0,49,N/A
